reaction_time,county median median,growth_rate median median
12,,1.0000000000000002
22,,1.2613087486493082
23,,1.0
25,,1.2042467839016104
26,,1.445448878218924
27,,1.36416881961338
28,,1.3536852989958115
29,,1.369711561150669
30,,1.3910198021194555
31,,1.3095788807782769
32,,1.2655615438497214
33,,1.254607312369433
34,,1.2728896005914634
35,,1.2660297885065233
36,,1.2472103348459571
37,,1.1000835371125053
38,,1.2771498623835473
39,,1.2624798184558779
40,,1.2444419979872026
41,,1.1879060201239278
54,,1.0
