reaction_time,country median,growth_rate median,growth_rate smoothed
-32,,1.2167036679004044,1.2164998880466824
-20,,1.2411154184456055,1.2389865901867145
1,,1.2246069279766656,1.26188919954929
2,,1.3258644434046571,1.284601785276266
3,,1.3435234043384405,1.3065184165094996
4,,1.321785341004776,1.3270331623908518
5,,1.2998720854670467,1.3448572858691439
6,,1.29682277570728,1.3443650051725873
7,,1.4309295848132038,1.3648688029891
8,,1.4382440803187453,1.392549333026059
9,,1.3474671653709696,1.4255743671668524
10,,1.3954018012194198,1.4754375497216285
11,,1.5923095015401283,1.463416086607136
12,,1.4578792007851782,1.4564389863670593
13,,1.4904169514401444,1.4559911720759602
14,,1.4921705897968176,1.4757885493422058
15,,1.2457386306256988,1.469299233669172
16,,1.5483970058204997,1.4271096938992083
17,,1.4610500137419211,1.4115624358922307
18,,1.518983739339317,1.4329308465048587
19,,1.361902571042195,1.4409044403584153
20,,1.3037688523847604,1.4785436539785757
21,,1.493081085690206,1.432313848198588
22,,1.6513766193242088,1.468020521223535
24,,1.3759628649108189,1.4740490955810164
25,,1.518744422448527,1.4712261000897224
26,,1.330553917537734,1.480639057795864
27,,1.6280192428942082,1.4467048148820558
28,,1.3093926436625676,1.4053850430939159
29,,1.3769870614680164,1.4184007460779435
30,,1.5568093232460336,1.400925574583644
33,,1.2945599387839162,1.4016871938010953
34,,1.3228560217021907,1.3836291695373661
35,,1.4972099599239068,1.4129512707213
36,,1.4121061330680547,1.4409754162951556
37,,1.4198136215319033,1.4731205646519854
42,,1.482778132983835,1.4917837563868286
45,,1.4750329020755204,1.486280049178392
50,,1.5665577925121605,1.4459245007053867
56,,1.292182905412539,1.360032168646523
