,stop_name,gtfs_longitude,gtfs_latitude
0,Astoria - Ditmars Blvd,-73.91203399999999,40.775036
1,Hewes St,-73.95343100000001,40.70687
2,Marcy Av,-73.957757,40.708359
3,Bowery,-73.993915,40.720279999999995
4,Broad St,-74.01105600000001,40.706476
5,Middle Village - Metropolitan Av,-73.889601,40.711396
6,Fresh Pond Rd,-73.895877,40.706185999999995
7,Forest Av,-73.903077,40.704423
8,Seneca Av,-73.90774,40.702762
9,Knickerbocker Av,-73.91971099999999,40.698664
10,Central Av,-73.927397,40.697857
11,3 Av,-73.986122,40.732849
12,1 Av,-73.981628,40.730953
13,Bedford Av,-73.956872,40.717304
14,Graham Av,-73.944053,40.714565
15,Grand St,-73.94067,40.711926
16,Montrose Av,-73.93985,40.707739000000004
17,Morgan Av,-73.93314699999999,40.706152
18,Jefferson St,-73.922913,40.706607
19,DeKalb Av,-73.918425,40.703811
20,Halsey St,-73.904084,40.695602
21,28 St,-73.988691,40.745494
22,Wilson Av,-73.904046,40.688764
23,Bushwick Av - Aberdeen St,-73.905249,40.682829
24,Atlantic Av,-73.903097,40.675345
25,Sutter Av,-73.901975,40.669367
26,Livonia Av,-73.900571,40.664038
27,New Lots Av,-73.899232,40.658733000000005
28,E 105 St,-73.899485,40.650573
29,Canarsie - Rockaway Pkwy,-73.90185,40.646654
30,23 St,-73.98934399999999,40.741303
31,Park Pl,-73.957624,40.674772
32,Inwood - 207 St,-73.919899,40.868072
33,Dyckman St,-73.92727099999999,40.865491
34,190 St,-73.93418,40.859021999999996
35,181 St,-73.937969,40.851695
36,175 St,-73.939704,40.847390999999995
37,163 St - Amsterdam Av,-73.939892,40.836013
38,155 St,-73.941514,40.830518
39,145 St,-73.944216,40.824783000000004
40,135 St,-73.947649,40.817894
41,125 St,-73.952343,40.811109
42,116 St,-73.954882,40.805085
43,Cathedral Pkwy (110 St),-73.958161,40.800603
44,103 St,-73.961454,40.796092
45,96 St,-73.96469599999999,40.791641999999996
46,86 St,-73.96891600000001,40.785868
47,81 St - Museum of Natural History,-73.972143,40.781433
48,8 St - NYU,-73.99262900000001,40.730328
49,72 St,-73.97641,40.775594
50,50 St,-73.985984,40.762456
51,34 St - Penn Station,-73.993391,40.752287
52,23 St,-73.998041,40.745906
53,W 4 St,-74.000495,40.732338
54,Spring St,-74.003739,40.726227
55,Canal St,-74.005229,40.720824
56,Prince St,-73.997702,40.724329
57,High St,-73.990531,40.699337
58,Hoyt - Schermerhorn Sts,-73.985001,40.688484
59,Lafayette Av,-73.973946,40.686113
60,Clinton - Washington Avs,-73.965838,40.683263000000004
61,Nostrand Av,-73.95042600000001,40.680438
62,Kingston - Throop Avs,-73.94085799999999,40.679921
63,Utica Av,-73.930729,40.679364
64,Ralph Av,-73.92078599999999,40.678822
65,Rockaway Av,-73.911946,40.678340000000006
66,Liberty Av,-73.896548,40.674541999999995
67,Van Siclen Av,-73.89035799999999,40.672709999999995
68,Shepherd Av,-73.88075,40.67413
69,Euclid Av,-73.872106,40.675377000000005
70,Grant Av,-73.86505,40.677044
71,80 St,-73.858992,40.679371
72,88 St,-73.85146999999999,40.679843
73,Rockaway Blvd,-73.843853,40.680429
74,104 St,-73.837683,40.681711
75,111 St,-73.832163,40.684331
76,Ozone Park - Lefferts Blvd,-73.82579799999999,40.685951
77,Aqueduct Racetrack,-73.83591899999999,40.672096999999994
78,Aqueduct - N Conduit Av,-73.834058,40.668234000000005
79,Howard Beach - JFK Airport,-73.830301,40.660476
80,Broad Channel,-73.815925,40.608382
81,Astoria Blvd,-73.917843,40.770258
82,Beach 90 St,-73.813641,40.588034
83,Beach 98 St,-73.82055799999999,40.585307
84,Beach 105 St,-73.827559,40.583209000000004
85,Rockaway Park - Beach 116 St,-73.835592,40.580903
86,Beach 67 St,-73.796924,40.590927
87,Beach 60 St,-73.788522,40.592374
88,Beach 44 St,-73.776013,40.592943
89,Beach 36 St,-73.768175,40.595397999999996
90,Beach 25 St,-73.761353,40.600066
91,Far Rockaway - Mott Av,-73.75540500000001,40.603995
92,Norwood - 205 St,-73.878855,40.874811
93,Bedford Park Blvd,-73.88713800000001,40.873244
94,Kingsbridge Rd,-73.893509,40.866978
95,Fordham Rd,-73.897749,40.861296
96,182-183 Sts,-73.900741,40.856093
97,Tremont Av,-73.905227,40.85041
98,174-175 Sts,-73.910136,40.8459
99,170 St,-73.9134,40.839306
100,167 St,-73.91844,40.833771
101,Rector St,-74.01334200000001,40.70722
102,155 St,-73.938209,40.830135
103,21 St - Queensbridge,-73.942836,40.754203000000004
104,Roosevelt Island,-73.95326,40.759145000000004
105,Lexington Av/63 St,-73.966113,40.764629
106,57 St,-73.97745,40.763971999999995
107,47-50 Sts - Rockefeller Ctr,-73.981329,40.758663
108,23 St,-73.99282099999999,40.742878000000005
109,Grand St,-73.993753,40.718267
110,2 Av,-73.989938,40.723402
111,East Broadway,-73.990173,40.713715
112,York St,-73.986751,40.701397
113,Bergen St,-73.99086199999999,40.686145
114,Carroll St,-73.995048,40.680303
115,Smith - 9 Sts,-73.995959,40.67358
116,7 Av,-73.980305,40.666271
117,15 St - Prospect Park,-73.979493,40.660365000000006
118,Fort Hamilton Pkwy,-73.975776,40.650782
119,Church Av,-73.979678,40.644040999999994
120,Ditmas Av,-73.978172,40.636119
121,18 Av,-73.97697099999999,40.629754999999996
122,Avenue I,-73.976127,40.625322
123,Bay Pkwy,-73.975264,40.620769
124,Avenue N,-73.974197,40.615140000000004
125,Avenue P,-73.973022,40.608944
126,Kings Hwy,-73.97236099999999,40.603217
127,Avenue U,-73.973357,40.596063
128,Avenue X,-73.97425,40.589620000000004
129,Neptune Av,-73.974574,40.581011
130,Jamaica - 179 St,-73.783817,40.712646
131,169 St,-73.793604,40.71047
132,Parsons Blvd,-73.803326,40.707564
133,Sutphin Blvd,-73.81070799999999,40.705459999999995
134,Briarwood - Van Wyck Blvd,-73.820574,40.709179
135,Kew Gardens - Union Tpke,-73.831008,40.714441
136,DeKalb Av,-73.981824,40.690635
137,75 Av,-73.837324,40.718331
138,Forest Hills - 71 Av,-73.844521,40.721691
139,67 Av,-73.852719,40.726523
140,63 Dr - Rego Park,-73.861604,40.729846
141,Woodhaven Blvd,-73.869229,40.733106
142,Grand Av - Newtown,-73.877223,40.737015
143,Elmhurst Av,-73.882017,40.742453999999995
144,65 St,-73.898453,40.749669
145,Northern Blvd,-73.906006,40.752885
146,46 St,-73.913333,40.756312
147,Steinway St,-73.92074000000001,40.756879
148,36 St,-73.928781,40.752039
149,Queens Plaza,-73.93724300000001,40.748973
150,5 Av/53 St,-73.975224,40.760166999999996
151,7 Av,-73.981637,40.762862
152,Jamaica Center - Parsons/Archer,-73.801109,40.702147
153,Sutphin Blvd - Archer Av - JFK Airport,-73.807969,40.700486
154,Union St,-73.98311,40.677316
155,Jamaica - Van Wyck,-73.816859,40.702566
156,21 St,-73.949724,40.744065
157,Greenpoint Av,-73.954449,40.731352
158,Nassau Av,-73.951277,40.724635
159,Broadway,-73.95030799999999,40.706092
160,Flushing Av,-73.950234,40.700377
161,Myrtle - Willoughby Avs,-73.949046,40.694568
162,Bedford - Nostrand Avs,-73.95352199999999,40.689627
163,Classon Av,-73.96007,40.688873
164,Clinton - Washington Avs,-73.96683900000001,40.688089
165,Fulton St,-73.975375,40.687119
166,Van Cortlandt Park - 242 St,-73.898583,40.889247999999995
167,238 St,-73.90087,40.884667
168,231 St,-73.904834,40.878856
169,Marble Hill - 225 St,-73.90983100000001,40.874561
170,215 St,-73.915279,40.869444
171,207 St,-73.91882199999999,40.864621
172,Dyckman St,-73.925536,40.860531
173,30 Av,-73.921479,40.766779
174,Prospect Av,-73.99287199999999,40.665414
175,191 St,-73.929412,40.855225
176,181 St,-73.933596,40.849505
177,157 St,-73.94489,40.834041
178,145 St,-73.95036,40.826551
179,137 St - City College,-73.953676,40.822008000000004
180,125 St,-73.958372,40.815581
181,116 St - Columbia University,-73.96410999999999,40.807722
182,Cathedral Pkwy,-73.966847,40.803967
183,103 St,-73.968379,40.799446
184,25 St,-73.998091,40.660396999999996
185,96 St,-73.972323,40.793919
186,86 St,-73.976218,40.788644
187,79 St,-73.979917,40.783934
188,72 St,-73.98196999999999,40.778453000000006
189,66 St - Lincoln Center,-73.982209,40.77344
190,50 St,-73.98384899999999,40.761728000000005
191,34 St - Penn Station,-73.991057,40.750372999999996
192,28 St,-73.993365,40.747215000000004
193,36 St,-74.00354899999999,40.655144
194,23 St,-73.995657,40.744081
195,18 St,-73.99787099999999,40.741040000000005
196,Christopher St - Sheridan Sq,-74.00290600000001,40.733422
197,Houston St,-74.005367,40.728251
198,Canal St,-74.006277,40.722854
199,Franklin St,-74.006886,40.719318
200,Chambers St,-74.009266,40.715478000000004
201,WTC Cortlandt,-74.012188,40.711835
202,Rector St,-74.01378299999999,40.707513
203,45 St,-74.010006,40.648939
204,Wall St,-74.0091,40.706821000000005
205,Clark St,-73.993086,40.697466
206,Hoyt St,-73.985065,40.690545
207,Nevins St,-73.980492,40.688246
208,Bergen St,-73.975098,40.680828999999996
209,53 St,-74.014034,40.645069
210,Grand Army Plaza,-73.971046,40.675235
211,Eastern Pkwy - Brooklyn Museum,-73.964375,40.671987
212,Nostrand Av,-73.950466,40.669847
213,Kingston Av,-73.942161,40.669399
214,Crown Hts - Utica Av,-73.93294200000001,40.668896999999994
215,Sutter Av - Rutland Rd,-73.92260999999999,40.664716999999996
216,Saratoga Av,-73.916327,40.661453
217,Rockaway Av,-73.908946,40.662549
218,Junius St,-73.902447,40.663515000000004
219,59 St,-74.017881,40.641362
220,Pennsylvania Av,-73.89489499999999,40.664635
221,Van Siclen Av,-73.889395,40.665449
222,New Lots Av,-73.884079,40.666235
223,President St,-73.950683,40.667883
224,Sterling St,-73.95085,40.662742
225,Winthrop St,-73.9502,40.656652
226,Church Av,-73.949575,40.650843
227,Beverly Rd,-73.948959,40.645098
228,Newkirk Av,-73.948411,40.639967
229,Flatbush Av - Brooklyn College,-73.947642,40.632836
230,Bay Ridge Av,-74.023377,40.634966999999996
231,Pelham Bay Park,-73.828121,40.852462
232,Buhre Av,-73.83256899999999,40.84681
233,Middletown Rd,-73.836322,40.843863
234,Westchester Sq - E Tremont Av,-73.842952,40.839892
235,Zerega Av,-73.847036,40.836488
236,Castle Hill Av,-73.85122199999999,40.834255
237,Parkchester,-73.860816,40.833226
238,St Lawrence Av,-73.86761800000001,40.831509000000004
239,Morrison Av- Sound View,-73.874516,40.829521
240,Elder Av,-73.879159,40.828584
241,77 St,-74.02551,40.629742
242,Whitlock Av,-73.88628299999999,40.826525
243,Hunts Point Av,-73.890549,40.820948
244,Longwood Av,-73.896435,40.816103999999996
245,E 149 St,-73.904098,40.812118
246,E 143 St - St Mary's St,-73.907657,40.808719
247,Cypress Av,-73.91404200000001,40.805368
248,Brook Av,-73.91924,40.807565999999994
249,3 Av - 138 St,-73.926138,40.810476
250,Woodlawn,-73.878751,40.886037
251,Mosholu Pkwy,-73.88465500000001,40.87975
252,86 St,-74.028398,40.622687
253,Bedford Park Blvd - Lehman College,-73.890064,40.873412
254,Kingsbridge Rd,-73.89717399999999,40.86776
255,Fordham Rd,-73.901034,40.862803
256,183 St,-73.903879,40.858407
257,Burnside Av,-73.907684,40.853453
258,176 St,-73.911794,40.84848
259,Mt Eden Av,-73.91468499999999,40.844434
260,170 St,-73.91779100000001,40.840075
261,167 St,-73.9214,40.835537
262,Bay Ridge - 95 St,-74.030876,40.616622
263,138 St - Grand Concourse,-73.929849,40.813224
264,125 St,-73.93759399999999,40.804138
265,116 St,-73.94161700000001,40.798629
266,110 St,-73.94425,40.79502
267,103 St,-73.947478,40.7906
268,96 St,-73.95107,40.785672
269,86 St,-73.955589,40.779492
270,77 St,-73.959874,40.77362
271,68 St - Hunter College,-73.96387,40.768141
272,Broadway,-73.925508,40.76182
273,33 St,-73.982076,40.746081
274,28 St,-73.984264,40.74307
275,23 St,-73.986599,40.739864000000004
276,Astor Pl,-73.99107,40.730053999999996
277,Spring St,-73.997141,40.722301
278,7 Av,-73.972367,40.67705
279,Wall St,-74.011862,40.707557
280,Bowling Green,-74.014065,40.704817
281,Wakefield - 241 St,-73.85061999999999,40.903125
282,Nereid Av,-73.854376,40.898379
283,233 St,-73.857473,40.893193
284,225 St,-73.860341,40.888022
285,Prospect Park,-73.962246,40.661614
286,219 St,-73.862633,40.883895
287,Gun Hill Rd,-73.866256,40.87785
288,Burke Av,-73.867164,40.871356
289,Allerton Av,-73.867352,40.865462
290,Pelham Pkwy,-73.867615,40.857192
291,Bronx Park East,-73.86845699999999,40.848828000000005
292,E 180 St,-73.873488,40.841894
293,West Farms Sq - E Tremont Av,-73.880049,40.840295000000005
294,174 St,-73.887734,40.837288
295,Freeman St,-73.891865,40.829993
296,Parkside Av,-73.961495,40.655291999999996
297,Simpson St,-73.893064,40.824073
298,Intervale Av,-73.896736,40.822181
299,Prospect Av,-73.90177,40.819585
300,Jackson Av,-73.90780699999999,40.81649
301,3 Av - 149 St,-73.917757,40.816109000000004
302,Harlem - 148 St,-73.93647,40.823879999999996
303,145 St,-73.936245,40.820421
304,135 St,-73.94077,40.814229
305,125 St,-73.945495,40.807753999999996
306,Church Av,-73.962982,40.650527000000004
307,116 St,-73.949625,40.802098
308,Central Park North (110 St),-73.95182199999999,40.799075
309,Eastchester - Dyre Av,-73.830834,40.8883
310,Baychester Av,-73.83859100000001,40.878663
311,Gun Hill Rd,-73.846384,40.869526
312,Pelham Pkwy,-73.85535899999999,40.858985
313,Morris Park,-73.860495,40.854364000000004
314,Flushing - Main St,-73.83003000000001,40.7596
315,Mets - Willets Point,-73.845625,40.754622
316,111 St,-73.855334,40.75173
317,Beverley Rd,-73.964492,40.644031
318,103 St - Corona Plaza,-73.8627,40.749865
319,Junction Blvd,-73.869527,40.749145
320,90 St - Elmhurst Av,-73.876613,40.748408000000005
321,82 St - Jackson Hts,-73.883697,40.747659000000006
322,69 St,-73.896403,40.746325
323,Woodside - 61 St,-73.902984,40.74563
324,52 St,-73.912549,40.744149
325,46 St,-73.918435,40.743132
326,40 St,-73.92401600000001,40.743781
327,Cortelyou Rd,-73.963891,40.640927000000005
328,33 St,-73.93099699999999,40.744587
329,Queensboro Plaza,-73.940202,40.750582
330,Hunters Point Av,-73.948916,40.742216
331,Vernon Blvd - Jackson Av,-73.953581,40.742626
332,Newkirk Plaza,-73.962793,40.635082000000004
333,34 St - 11 Av,-74.00191,40.755882
334,96 St,-73.947152,40.784318
335,86 St,-73.951787,40.777891
336,72 St,-73.958424,40.768799
337,Avenue H,-73.961639,40.62927
338,Avenue J,-73.960803,40.625039
339,36 Av,-73.929575,40.756803999999995
340,Avenue M,-73.959399,40.617618
341,St George,-74.073643,40.643747999999995
342,Tompkinsville,-74.074835,40.636949
343,Kings Hwy,-73.957734,40.608670000000004
344,Avenue U,-73.955929,40.5993
345,Neck Rd,-73.955161,40.595246
346,Sheepshead Bay,-73.954155,40.586896
347,Brighton Beach,-73.961376,40.577621
348,Ocean Pkwy,-73.968501,40.576312
349,W 8 St - NY Aquarium,-73.975939,40.576127
350,Coney Island - Stillwell Av,-73.98123299999999,40.577422
351,9 Av,-73.994324,40.646291999999995
352,39 Av,-73.932755,40.752882
353,Fort Hamilton Pkwy,-73.994304,40.640914
354,6 Av,-73.996786,40.737334999999995
355,14 St - Union Sq,-73.99056800000001,40.735735999999996
356,161 St - Yankee Stadium,-73.925651,40.827905
357,168 St,-73.939561,40.840719
358,Court Sq,-73.943832,40.746553999999996
359,34 St - Herald Sq,-73.98782299999999,40.749719
360,9 St,-73.988302,40.670846999999995
361,5 Av,-73.98196300000001,40.753821
362,50 St,-73.994791,40.63626
363,Grand Central - 42 St,-73.97604100000001,40.751431
364,Times Sq - 42 St,-73.987691,40.755477
365,51 St,-73.97192,40.757107
366,Lexington Av/59 St,-73.967258,40.76266
367,59 St - Columbus Circle,-73.98192900000001,40.768246999999995
368,62 St,-73.996895,40.626472
369,74 St - Broadway,-73.89139399999999,40.746848
370,Atlantic Av - Barclays Ctr,-73.97881,40.683665999999995
371,8 Av,-74.002578,40.739777000000004
372,Bleecker St,-73.994659,40.725915
373,55 St,-73.995476,40.631434999999996
374,Borough Hall,-73.989998,40.693219
375,Broadway Jct,-73.905316,40.678334
376,Brooklyn Bridge - City Hall,-74.004131,40.713065
377,Canal St,-74.00019300000001,40.718803
378,Park Pl,-74.008811,40.713051
379,Delancey St,-73.988114,40.718610999999996
380,Botanic Garden,-73.959245,40.670343
381,Franklin Av,-73.956848,40.68138
382,Fulton St,-74.00769100000001,40.710196999999994
383,Lorimer St,-73.950275,40.714063
384,Myrtle - Wyckoff Avs,-73.911586,40.699814
385,Whitehall St,-74.01299399999999,40.703087
386,Jay St - MetroTech,-73.987342,40.692338
387,71 St,-73.998864,40.619589000000005
388,79 St,-74.00061,40.613501
389,18 Av,-74.001736,40.607954
390,20 Av,-73.998168,40.604556
391,Bay Pkwy,-73.993728,40.601875
392,25 Av,-73.986829,40.597704
393,Bay 50 St,-73.983765,40.588840999999995
394,8 Av,-74.011719,40.635064
395,Fort Hamilton Pkwy,-74.005351,40.631386
396,18 Av,-73.990414,40.620671
397,20 Av,-73.985026,40.61741
398,Bay Pkwy,-73.981848,40.611815
399,Kings Hwy,-73.98035300000001,40.603922999999995
400,Avenue U,-73.979137,40.597473
401,86 St,-73.97823000000001,40.592721000000004
402,5 Av/59 St,-73.973347,40.764811
403,121 St,-73.828294,40.700492
404,111 St,-73.836345,40.697418
405,104 St,-73.84433,40.695178000000006
406,Woodhaven Blvd,-73.851576,40.693878999999995
407,85 St - Forest Pkwy,-73.86001,40.692434999999996
408,75 St,-73.867139,40.691324
409,Cypress Hills,-73.87255,40.689941
410,Crescent St,-73.873785,40.683194
411,Norwood Av,-73.880039,40.68141
412,Cleveland St,-73.884639,40.679947
413,57 St - 7 Av,-73.98065799999999,40.764664
414,Van Siclen Av,-73.891688,40.678024
415,Alabama Av,-73.89865400000001,40.676992
416,Chauncey St,-73.91045600000001,40.682893
417,Halsey St,-73.91655899999999,40.686370000000004
418,Gates Av,-73.92227,40.68963
419,Kosciuszko St,-73.928814,40.693342
420,Myrtle Av,-73.93565699999999,40.697207
421,Flushing Av,-73.941126,40.70026
422,Lorimer St,-73.947408,40.703869
423,Roosevelt Island Tram - Eastbound,-73.964191,40.761186
424,Roosevelt Island Tram - Westbound,-73.95409699999999,40.757307
425,World Trade Center,-74.014129,40.712052500000006
426,33 St,-73.9898747,40.7478505
427,23 St,-73.99417679999999,40.7426718
428,Exchange Pl,-74.033372,40.716553999999995
429,Harrison,-74.1573444,40.740472100000005
430,14 St,-73.99874140000001,40.73850720000001
431,Pavonia/Newport,-74.03825690000001,40.7250054
432,9 St,-74.0004635,40.7344094
433,Christopher St,-74.0089239,40.732593
434,Newark Penn Station,-74.1679197,40.7335855
435,Hoboken,-74.0332199,40.7349102
436,Grove St,-74.0448325,40.7236214
437,Journal Sq,-74.06863249999999,40.73030429999999
